,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Jun 15, 2019",90657,92738,90485,91683,159 441 139,2 377 068 998
1,"Jun 14, 2019",89776,91249,85711,90619,205 015 950,2 349 495 494
2,"Jun 13, 2019",96331,96988,88704,89739,228 176 588,2 326 670 250
3,"Jun 12, 2019",87998,96554,86493,96525,247 353 618,2 502 604 097
4,"Jun 11, 2019",85595,89169,82589,87965,152 723 260,2 280 666 739
5,"Jun 10, 2019",79430,85685,78350,85537,139 307 413,2 217 723 086
6,"Jun 09, 2019",84205,84278,77631,79470,122 067 718,2 060 434 302
7,"Jun 08, 2019",85856,86594,82322,84213,126 559 142,2 183 393 468
8,"Jun 07, 2019",83406,87672,82764,85807,139 056 743,2 224 715 557
9,"Jun 06, 2019",83391,83979,78934,83472,154 264 121,2 164 189 637
10,"Jun 05, 2019",82719,85117,80473,83438,118 371 207,2 163 295 122
11,"Jun 04, 2019",88447,88447,79821,82486,184 181 602,2 138 623 824
12,"Jun 03, 2019",96586,98342,88472,88708,227 861 801,2 299 939 612
13,"Jun 02, 2019",90695,97519,90614,96578,187 162 218,2 503 977 777
14,"Jun 01, 2019",89462,92815,86398,90533,151 835 928,2 347 250 771
15,"May 31, 2019",84510,89937,81873,89441,136 542 079,2 318 955 942
16,"May 30, 2019",90832,96768,81744,84510,232 348 615,2 191 093 156
17,"May 29, 2019",92874,93769,86168,90867,154 832 177,2 355 927 837
18,"May 28, 2019",91549,93248,87621,92815,180 587 855,2 406 421 935
19,"May 27, 2019",86038,93476,85363,91695,171 736 300,2 377 380 307
20,"May 26, 2019",80502,86936,78697,86014,111 190 329,2 230 096 452
21,"May 25, 2019",80869,82559,79759,80502,62 522 128,2 087 176 301
22,"May 24, 2019",80725,83375,78447,80869,106 320 608,2 096 685 245
23,"May 23, 2019",77914,80695,74189,80690,101 768 393,2 092 055 880
24,"May 22, 2019",84603,85460,77680,77955,130 856 368,2 021 133 888
25,"May 21, 2019",84844,86443,82453,84617,97 465 477,2 193 873 581
26,"May 20, 2019",86962,86993,80144,84848,133 738 559,2 199 862 357
27,"May 19, 2019",79063,88229,78626,86996,145 752 504,2 255 549 028
28,"May 18, 2019",83260,84879,78879,79104,116 482 955,2 050 923 758
29,"May 17, 2019",88207,90825,76633,83260,208 531 470,2 158 684 320
30,"May 16, 2019",93996,100402,84326,88161,270 983 572,2 285 757 763
31,"May 15, 2019",84562,94902,83558,93951,207 490 352,2 435 864 142
32,"May 14, 2019",73016,84571,72869,84505,192 076 841,2 190 969 359
33,"May 13, 2019",70086,76612,69530,73072,124 764 723,1 894 538 319
34,"May 12, 2019",75145,76754,68444,70086,141 023 789,1 817 119 315
35,"May 11, 2019",63355,78432,63010,75171,187 252 193,1 948 954 438
36,"May 10, 2019",61695,64837,59106,63428,87 926 146,1 644 492 023
37,"May 09, 2019",64606,65069,60437,61691,60 306 853,1 599 479 075
38,"May 08, 2019",64017,64990,62168,64606,40 605 280,1 675 057 091
39,"May 07, 2019",66759,68643,64036,64036,53 650 714,1 660 270 104
40,"May 06, 2019",66164,68471,63682,66780,60 289 464,1 731 421 229
41,"May 05, 2019",66907,67966,65709,66146,49 098 473,1 714 978 394
42,"May 04, 2019",69858,71954,65832,66880,75 467 767,1 734 006 640
43,"May 03, 2019",68575,71937,67652,69858,77 726 744,1 811 204 684
44,"May 02, 2019",69020,69710,68278,68579,55 122 571,1 778 049 850
45,"May 01, 2019",70338,70770,67533,69014,58 865 338,1 789 340 578
46,"Apr 30, 2019",64661,70346,64661,70346,62 990 602,1 823 858 101
47,"Apr 29, 2019",68620,68970,64204,64631,69 287 156,1 675 705 398
48,"Apr 28, 2019",70189,70646,68020,68591,42 979 831,1 778 363 782
49,"Apr 27, 2019",69211,71602,68274,70196,50 161 507,1 819 967 619
50,"Apr 26, 2019",69347,70828,66881,69219,83 227 768,1 794 657 446
51,"Apr 25, 2019",72643,76030,68668,69244,96 537 994,1 795 286 337
52,"Apr 24, 2019",74524,75840,68737,72645,90 318 024,1 883 467 318
53,"Apr 23, 2019",78067,80333,74321,74524,100 698 845,1 932 178 857
54,"Apr 22, 2019",74101,79376,72221,78040,90 476 347,2 023 336 836
55,"Apr 21, 2019",76556,77978,71989,74106,89 301 952,1 921 361 012
56,"Apr 20, 2019",79515,79515,75401,76506,77 410 325,1 983 585 079
57,"Apr 19, 2019",81739,81782,78210,79500,82 646 736,2 061 207 560
58,"Apr 18, 2019",83066,83883,81377,81775,70 016 366,2 120 197 588
59,"Apr 17, 2019",83785,84560,82078,83074,66 210 753,2 153 869 869
60,"Apr 16, 2019",82265,83860,80451,83783,65 962 870,2 172 245 015
61,"Apr 15, 2019",84643,85634,81360,82307,73 555 913,2 133 983 896
62,"Apr 14, 2019",83731,85479,81372,84643,82 514 758,2 194 550 264
63,"Apr 13, 2019",83485,85507,82907,83731,71 755 836,2 170 900 032
64,"Apr 12, 2019",83584,85376,80397,83463,110 371 615,2 163 952 243
65,"Apr 11, 2019",89929,90716,77629,83385,163 656 338,2 161 932 600
66,"Apr 10, 2019",83779,92479,83535,89964,131 422 302,2 332 498 044
67,"Apr 09, 2019",86989,87018,81707,83749,122 878 696,2 171 369 401
68,"Apr 08, 2019",90466,91622,83341,87009,134 978 650,2 255 876 188
69,"Apr 07, 2019",90161,91286,88536,90484,100 804 121,2 345 996 894
70,"Apr 06, 2019",91214,93681,87901,90289,114 652 738,2 340 932 226
71,"Apr 05, 2019",87355,92228,87342,91226,122 685 904,2 365 234 817
72,"Apr 04, 2019",90518,94088,83283,87370,182 769 802,2 265 240 087
73,"Apr 03, 2019",85437,99958,84840,90723,300 935 985,2 352 181 939
74,"Apr 02, 2019",72310,85467,70908,85467,201 276 068,2 215 912 840
75,"Apr 01, 2019",69651,72756,69019,72330,81 836 247,1 875 296 477
76,"Mar 31, 2019",71739,72125,69393,69746,67 772 020,1 808 312 387
77,"Mar 30, 2019",71257,73712,68405,71739,94 907 668,1 859 991 057
78,"Mar 29, 2019",65763,72777,65763,71289,125 904 170,1 848 311 707
79,"Mar 28, 2019",67593,67593,65003,65828,78 259 560,1 706 724 371
80,"Mar 27, 2019",62232,68331,61273,67595,113 386 031,1 752 535 163
81,"Mar 26, 2019",59206,62370,59131,62370,79 200 006,1 617 074 185
82,"Mar 25, 2019",61850,61850,57534,59025,74 748 665,1 530 346 052
83,"Mar 24, 2019",63723,64347,59715,61704,102 441 666,1 599 795 321
84,"Mar 23, 2019",57993,64727,57047,63781,137 854 804,1 653 644 986
85,"Mar 22, 2019",52906,59172,52668,58062,119 817 467,1 505 389 455
86,"Mar 21, 2019",53957,54958,50767,52900,66 543 590,1 371 535 198
87,"Mar 20, 2019",52719,53923,51366,53891,47 370 106,1 397 240 955
88,"Mar 19, 2019",50457,53691,49756,52594,46 089 908,1 363 600 697
89,"Mar 18, 2019",50311,51134,49668,50452,37 198 857,1 308 074 595
90,"Mar 17, 2019",51600,51762,50015,50207,28 870 445,1 301 710 902
91,"Mar 16, 2019",50112,51876,49740,51621,44 616 837,1 338 373 269
92,"Mar 15, 2019",47986,50829,47956,50077,42 730 118,1 298 350 928
93,"Mar 14, 2019",46575,48252,46348,48055,26 216 581,1 245 938 291
94,"Mar 13, 2019",47366,48584,46211,46590,29 855 262,1 207 931 190
95,"Mar 12, 2019",47665,48216,45893,47397,35 348 849,1 228 861 553
96,"Mar 11, 2019",45697,48525,44979,47633,54 732 770,1 234 989 220
97,"Mar 10, 2019",46754,46754,44463,45698,27 465 022,1 184 820 250
98,"Mar 09, 2019",42686,46951,42656,46728,52 185 658,1 211 517 758
99,"Mar 08, 2019",42952,43794,42461,42664,20 315 017,1 106 144 503
100,"Mar 07, 2019",42850,43581,42513,42944,17 201 356,1 113 412 524
101,"Mar 06, 2019",43185,43470,42354,42843,15 221 353,1 110 799 547
102,"Mar 05, 2019",40599,43353,40299,43212,20 952 204,1 120 354 028
103,"Mar 04, 2019",42303,42477,39830,40602,18 487 838,1 052 691 797
