,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Jun 15, 2019",15411,15610,15328,15501,306 828 766,1 374 452 649
1,"Jun 14, 2019",15378,15549,15036,15414,348 136 254,1 366 525 550
2,"Jun 13, 2019",15630,15911,15348,15367,370 371 097,1 362 076 802
3,"Jun 12, 2019",14787,15733,14704,15618,397 969 408,1 384 040 061
4,"Jun 11, 2019",15143,15143,14421,14786,370 580 497,1 310 079 565
5,"Jun 10, 2019",14273,15171,14114,15151,403 196 738,1 342 142 467
6,"Jun 09, 2019",14589,14664,14016,14289,337 508 605,1 265 537 507
7,"Jun 08, 2019",15000,15056,14363,14603,364 289 507,1 293 099 293
8,"Jun 07, 2019",14411,15262,14272,15010,409 081 234,1 328 912 570
9,"Jun 06, 2019",14763,14965,14070,14417,370 382 326,1 276 171 133
10,"Jun 05, 2019",14380,14848,14320,14767,393 664 614,1 306 919 913
11,"Jun 04, 2019",15647,15647,14118,14376,463 111 535,1 272 026 168
12,"Jun 03, 2019",16525,16538,15521,15627,415 992 058,1 382 456 873
13,"Jun 02, 2019",16350,16812,16250,16523,437 591 946,1 461 466 316
14,"Jun 01, 2019",16519,16683,16219,16345,460 782 905,1 445 456 689
15,"May 31, 2019",16309,16573,15750,16518,430 726 112,1 459 510 453
16,"May 30, 2019",16828,17583,15937,16315,508 894 990,1 441 297 640
17,"May 29, 2019",16903,17328,16129,16824,461 954 107,1 485 998 718
18,"May 28, 2019",16702,17215,16349,16920,509 134 514,1 494 228 053
19,"May 27, 2019",16267,16961,16217,16710,1 019 452 596,1 475 341 913
20,"May 26, 2019",15606,16504,15286,16260,959 012 638,1 435 374 453
21,"May 25, 2019",15632,16031,15490,15612,407 186 152,1 377 919 435
22,"May 24, 2019",15455,16243,15414,15634,469 518 392,1 379 541 390
23,"May 23, 2019",15480,15616,14655,15448,405 608 815,1 362 875 036
24,"May 22, 2019",16665,16771,15314,15505,378 849 361,1 367 625 811
25,"May 21, 2019",16774,16874,16071,16664,433 507 335,1 469 588 471
26,"May 20, 2019",16983,17190,15947,16775,520 959 990,1 479 097 963
27,"May 19, 2019",14040,17143,14002,16978,509 310 051,1 496 694 585
28,"May 18, 2019",13814,14333,13498,14036,394 050 658,1 237 132 432
29,"May 17, 2019",14878,14977,13082,13781,419 729 334,1 214 443 371
30,"May 16, 2019",15235,16137,14556,14873,540 120 847,1 310 380 526
31,"May 15, 2019",14145,15333,14142,15249,512 588 128,1 343 244 187
32,"May 14, 2019",13177,14215,13149,14148,387 372 749,1 246 025 982
33,"May 13, 2019",12427,13600,12363,13174,377 459 113,1 160 042 036
34,"May 12, 2019",12412,12758,11817,12430,343 541 553,1 094 291 042
35,"May 11, 2019",11282,12607,11237,12418,365 589 460,1 093 058 191
36,"May 10, 2019",11238,11525,11139,11281,284 472 127,992 805 398
37,"May 09, 2019",11802,11878,11042,11237,280 347 731,988 752 614
38,"May 08, 2019",11751,11839,11595,11804,277 441 522,1 038 417 382
39,"May 07, 2019",12040,12330,11745,11753,296 756 861,1 033 722 005
40,"May 06, 2019",11929,12196,11682,12042,299 199 981,1 058 916 725
41,"May 05, 2019",12072,12105,11852,11931,255 827 278,1 048 975 845
42,"May 04, 2019",12103,12392,11791,12070,290 182 752,1 060 989 335
43,"May 03, 2019",11724,12293,11619,12110,286 573 520,1 064 279 387
44,"May 02, 2019",11720,11912,11600,11724,259 390 832,1 030 188 828
45,"May 01, 2019",11183,11939,11179,11719,276 115 351,1 028 971 492
46,"Apr 30, 2019",10813,11211,10777,11179,253 599 720,981 327 287
47,"Apr 29, 2019",11029,11136,10734,10811,254 679 199,948 825 717
48,"Apr 28, 2019",10967,11134,10902,11024,239 641 263,967 305 378
49,"Apr 27, 2019",10949,11086,10841,10964,234 540 155,961 928 734
50,"Apr 26, 2019",10874,11181,10640,10946,273 673 328,960 127 855
51,"Apr 25, 2019",11542,11872,10838,10863,282 460 122,952 626 006
52,"Apr 24, 2019",11874,12088,11260,11541,312 408 765,1 011 904 721
53,"Apr 23, 2019",12272,12510,11865,11874,295 558 405,1 040 909 343
54,"Apr 22, 2019",12158,12334,12011,12270,252 838 818,1 075 400 327
55,"Apr 21, 2019",12359,12419,11873,12156,267 992 470,1 065 247 640
56,"Apr 20, 2019",12305,12474,12206,12353,256 996 001,1 082 314 216
57,"Apr 19, 2019",12437,12459,12172,12305,256 691 636,1 077 907 772
58,"Apr 18, 2019",12060,12547,12060,12424,303 176 904,1 088 118 162
59,"Apr 17, 2019",12154,12316,11959,12061,265 842 428,1 056 091 861
60,"Apr 16, 2019",11931,12181,11699,12155,304 019 084,1 064 125 589
61,"Apr 15, 2019",12323,12434,11642,11921,284 253 075,1 043 436 252
62,"Apr 14, 2019",12013,12376,11899,12329,242 571 615,1 078 878 136
63,"Apr 13, 2019",11959,12092,11868,12012,236 380 649,1 050 960 555
64,"Apr 12, 2019",12314,12314,11713,11963,269 911 688,1 046 469 240
65,"Apr 11, 2019",13008,13021,11635,12312,298 104 060,1 076 781 436
66,"Apr 10, 2019",13236,13384,12850,12996,301 080 748,1 136 415 532
67,"Apr 09, 2019",13633,13633,13087,13230,262 351 291,1 156 675 787
68,"Apr 08, 2019",13528,13765,13115,13632,347 993 408,1 191 564 654
69,"Apr 07, 2019",13089,13541,13053,13526,390 843 775,1 182 064 054
70,"Apr 06, 2019",13277,13597,12973,13095,276 748 770,1 144 152 824
71,"Apr 05, 2019",12385,13277,12385,13277,304 180 972,1 159 794 935
72,"Apr 04, 2019",12487,13197,12142,12390,367 863 314,1 082 087 564
73,"Apr 03, 2019",12473,13854,12285,12477,547 500 260,1 089 416 745
74,"Apr 02, 2019",11307,12590,11244,12468,467 984 068,1 088 410 240
75,"Apr 01, 2019",10814,11566,10691,11309,325 590 768,986 356 520
76,"Mar 31, 2019",9997,10838,9944,10817,307 273 197,943 250 363
77,"Mar 30, 2019",9796,10197,9592,9998,256 931 847,871 664 841
78,"Mar 29, 2019",9700,9828,9625,9805,235 901 173,854 617 092
79,"Mar 28, 2019",9544,9739,9368,9692,273 847 360,844 603 730
80,"Mar 27, 2019",8986,9599,8966,9549,251 629 903,831 945 584
81,"Mar 26, 2019",9006,9021,8879,8983,260 086 788,782 510 893
82,"Mar 25, 2019",9274,9320,8884,9015,272 531 942,785 077 793
83,"Mar 24, 2019",9266,9345,9199,9261,263 565 364,806 372 695
84,"Mar 23, 2019",9149,9281,9137,9269,252 859 798,806 856 519
85,"Mar 22, 2019",9112,9264,9057,9154,327 115 992,796 697 589
86,"Mar 21, 2019",9376,9418,9036,9116,289 562 774,793 229 410
87,"Mar 20, 2019",9242,9388,9103,9368,274 517 715,814 957 512
88,"Mar 19, 2019",9246,9363,9221,9238,279 417 894,803 479 141
89,"Mar 18, 2019",9365,9572,9221,9264,253 632 816,805 601 753
90,"Mar 17, 2019",9303,9400,9109,9356,228 317 131,813 463 650
91,"Mar 16, 2019",9087,9324,9084,9304,244 470 262,808 777 009
92,"Mar 15, 2019",8996,9185,8991,9070,261 122 554,788 189 556
93,"Mar 14, 2019",9129,9129,8867,8996,279 643 710,781 640 856
94,"Mar 13, 2019",9224,9383,9062,9145,286 758 977,794 438 027
95,"Mar 12, 2019",8428,9255,8284,9204,290 981 988,799 329 753
96,"Mar 11, 2019",8388,8426,8157,8355,238 933 542,725 454 942
97,"Mar 10, 2019",8433,8439,8237,8373,242 454 512,726 887 779
98,"Mar 09, 2019",8156,8468,8125,8413,260 715 166,730 236 104
99,"Mar 08, 2019",8369,8402,8100,8159,245 870 485,708 009 683
100,"Mar 07, 2019",8415,8464,8318,8360,249 706 447,725 265 429
101,"Mar 06, 2019",8388,8451,8192,8412,234 883 905,729 645 561
102,"Mar 05, 2019",7990,8433,7981,8394,267 697 097,727 959 459
103,"Mar 04, 2019",8232,8242,7914,7980,246 707 029,691 855 858
104,"Mar 03, 2019",8321,8463,8133,8195,234 980 698,710 428 400
105,"Mar 02, 2019",8332,8465,8290,8326,217 459 848,721 571 991
106,"Mar 01, 2019",8341,8533,8307,8340,214 590 927,722 159 553
107,"Feb 28, 2019",8246,8496,8236,8340,268 500 969,722 011 351
108,"Feb 27, 2019",8318,8318,8041,8247,258 637 442,713 794 772
109,"Feb 26, 2019",8397,8406,8190,8313,263 760 475,719 334 227
110,"Feb 25, 2019",8144,8480,8117,8412,228 964 736,727 766 422
111,"Feb 24, 2019",9013,9297,7974,8152,279 762 301,705 066 679
112,"Feb 23, 2019",8667,9037,8548,9008,250 962 022,778 987 549
113,"Feb 22, 2019",8560,8724,8519,8676,245 055 088,750 148 022
114,"Feb 21, 2019",8797,8894,8449,8561,236 314 511,739 973 582
115,"Feb 20, 2019",8822,8839,8510,8791,260 540 777,759 738 059
116,"Feb 19, 2019",8664,9022,8617,8816,285 735 176,761 705 059
117,"Feb 18, 2019",7974,8703,7967,8656,289 853 373,747 764 090
118,"Feb 17, 2019",7967,8052,7851,7975,206 403 616,688 790 081
119,"Feb 16, 2019",7912,8086,7910,7960,193 025 119,687 304 075
120,"Feb 15, 2019",7858,8034,7783,7915,215 175 325,683 308 137
121,"Feb 14, 2019",8058,8121,7809,7852,196 698 077,677 708 050
122,"Feb 13, 2019",8272,8317,8017,8053,215 409 826,694 937 603
123,"Feb 12, 2019",8021,8333,7864,8268,236 892 784,713 282 004
124,"Feb 11, 2019",7552,8178,7473,8016,227 879 067,691 438 368
125,"Feb 10, 2019",7424,7550,7300,7550,177 539 073,651 066 069
126,"Feb 09, 2019",7386,7530,7310,7423,169 940 905,640 025 451
127,"Feb 08, 2019",6726,7385,6687,7385,181 160 600,636 630 491
128,"Feb 07, 2019",6575,6757,6562,6725,151 346 662,579 584 088
129,"Feb 06, 2019",6834,6842,6547,6571,188 686 597,566 179 473
130,"Feb 05, 2019",6685,6861,6653,6816,159 410 275,587 172 496
131,"Feb 04, 2019",6703,6735,6641,6702,158 567 871,577 259 676
132,"Feb 03, 2019",6799,6810,6629,6690,161 289 431,576 039 391
133,"Feb 02, 2019",6739,6801,6674,6797,152 279 085,585 201 223
134,"Feb 01, 2019",6835,6854,6726,6749,179 787 292,580 896 463
135,"Jan 31, 2019",6927,6983,6807,6826,140 199 493,587 415 758
136,"Jan 30, 2019",6816,6996,6728,6930,153 059 006,595 813 352
137,"Jan 29, 2019",6810,6906,6695,6825,166 904 205,586 660 032
138,"Jan 28, 2019",7145,7146,6678,6813,941 544 091,585 522 248
139,"Jan 27, 2019",7418,7418,7140,7140,162 049 523,613 474 381
140,"Jan 26, 2019",7379,7475,7351,7416,160 830 169,637 016 967
141,"Jan 25, 2019",7324,7447,7317,7383,170 704 889,634 060 854
142,"Jan 24, 2019",7107,7413,7060,7306,165 476 902,627 345 653
143,"Jan 23, 2019",7178,7368,7044,7107,173 653 586,610 130 559
144,"Jan 22, 2019",6992,7231,6942,7172,138 943 879,615 524 471
145,"Jan 21, 2019",7004,7035,6912,6991,163 197 554,599 881 626
146,"Jan 20, 2019",7387,7403,6931,6989,242 808 317,599 612 574
147,"Jan 19, 2019",7172,7449,7157,7397,173 266 129,634 435 314
148,"Jan 18, 2019",7241,7267,7109,7161,198 778 864,614 067 356
149,"Jan 17, 2019",7156,7261,7062,7241,160 688 846,620 807 031
150,"Jan 16, 2019",7064,7254,7022,7128,157 274 044,611 007 487
151,"Jan 15, 2019",7290,7327,6985,7072,170 689 876,606 097 142
152,"Jan 14, 2019",7043,7440,6975,7298,137 162 317,625 302 585
153,"Jan 13, 2019",7361,7435,6936,7026,128 458 987,601 912 036
154,"Jan 12, 2019",7388,7461,7299,7361,123 278 278,630 439 544
155,"Jan 11, 2019",7361,7515,7280,7378,115 955 105,631 783 615
156,"Jan 10, 2019",8585,8657,7192,7378,136 869 558,631 644 094
157,"Jan 09, 2019",8168,8731,8153,8580,107 500 924,734 366 601
158,"Jan 08, 2019",8345,8413,8098,8168,97 001 749,698 952 596
159,"Jan 07, 2019",8600,8672,8289,8334,115 327 298,713 013 313
160,"Jan 06, 2019",8058,8631,7987,8584,108 093 796,734 199 904
161,"Jan 05, 2019",8102,8210,8027,8061,116 893 026,689 352 809
162,"Jan 04, 2019",8088,8293,7960,8120,88 034 486,694 238 320
163,"Jan 03, 2019",8390,8463,8051,8086,107 808 623,691 215 796
164,"Jan 02, 2019",8131,8455,8058,8400,97 837 934,717 906 996
165,"Jan 01, 2019",7916,8126,7832,8105,88 078 738,692 537 857
166,"Dec 31, 2018",8184,8310,7862,7906,108 299 749,674 947 452
167,"Dec 30, 2018",8022,8395,7968,8179,103 433 722,698 091 183
168,"Dec 29, 2018",8436,8480,8035,8035,107 080 371,685 592 694
169,"Dec 28, 2018",7626,8493,7537,8382,121 544 934,715 093 574
170,"Dec 27, 2018",8441,8473,7594,7640,135 210 655,651 681 733
171,"Dec 26, 2018",8400,8739,8156,8455,128 734 179,720 992 055
172,"Dec 25, 2018",9276,9276,8098,8396,128 516 889,715 788 368
173,"Dec 24, 2018",9028,10409,9028,9244,164 735 127,787 975 283
174,"Dec 23, 2018",8762,9197,8762,9023,131 821 218,768 904 932
175,"Dec 22, 2018",8570,9222,8348,8758,147 573 455,746 230 905
176,"Dec 21, 2018",9652,9652,8491,8562,160 660 461,729 380 032
177,"Dec 20, 2018",7423,9923,7396,9923,184 639 844,845 083 716
178,"Dec 19, 2018",7363,8095,7307,7442,147 010 895,633 626 897
179,"Dec 18, 2018",7129,7350,6865,7350,119 681 350,625 677 906
180,"Dec 17, 2018",6319,7342,6317,7128,141 113 375,606 672 088
181,"Dec 16, 2018",6251,6557,6246,6314,106 671 272,537 290 073
182,"Dec 15, 2018",5976,6481,5827,6249,112 585 020,531 579 384
183,"Dec 14, 2018",6119,6214,5922,5969,88 936 827,507 711 640
184,"Dec 13, 2018",6557,6561,6081,6121,114 651 080,520 511 825
185,"Dec 12, 2018",6403,6753,6392,6548,99 204 303,556 736 454
186,"Dec 11, 2018",6880,6963,6374,6411,156 411 314,544 955 290
187,"Dec 10, 2018",7638,7717,6772,6880,150 275 092,584 654 430
188,"Dec 09, 2018",6881,7676,6861,7651,156 384 716,650 016 794
189,"Dec 08, 2018",6778,7020,6528,6909,155 676 914,586 870 923
190,"Dec 07, 2018",6608,6763,5975,6763,177 956 763,574 337 061
191,"Dec 06, 2018",7789,7916,6588,6602,180 559 293,560 562 874
192,"Dec 05, 2018",8561,8583,7790,7790,207 834 874,661 320 766
193,"Dec 04, 2018",8469,8865,8306,8549,174 190 427,725 531 607
194,"Dec 03, 2018",9339,9344,8309,8482,190 219 025,719 733 058
195,"Dec 02, 2018",9510,9756,9166,9304,187 696 265,789 324 067
196,"Dec 01, 2018",9206,9770,9052,9535,183 221 199,808 121 723
197,"Nov 30, 2018",9681,9764,8895,9187,170 464 251,778 485 613
198,"Nov 29, 2018",9986,9994,9398,9666,165 236 103,818 918 585
199,"Nov 28, 2018",8916,10288,8916,9951,199 504 000,842 897 092
200,"Nov 27, 2018",8868,9106,8576,8913,126 986 000,754 732 417
201,"Nov 26, 2018",9113,9479,8367,8893,102 231 000,752 903 721
202,"Nov 25, 2018",9304,9305,8336,9145,215 597 000,774 064 956
203,"Nov 24, 2018",9942,10362,9096,9266,135 284 000,784 179 370
204,"Nov 23, 2018",10220,10283,9677,9932,216 622 000,840 306 522
205,"Nov 22, 2018",11441,11620,10334,10334,125 393 000,874 150 568
206,"Nov 21, 2018",10501,11460,10318,11431,168 913 000,966 764 525
207,"Nov 20, 2018",10939,11385,9902,10458,127 655 000,884 249 626
208,"Nov 19, 2018",13269,13270,10939,10969,179 060 000,927 247 572
209,"Nov 18, 2018",13292,13642,13193,13278,140 238 000,1 122 196 360
210,"Nov 17, 2018",13739,13739,13126,13263,209 353 000,1 120 686 774
211,"Nov 16, 2018",13854,14109,13516,13706,173 701 000,1 157 858 333
212,"Nov 15, 2018",14405,14489,12983,13844,208 017 000,1 169 319 667
213,"Nov 14, 2018",16074,16249,13804,14365,153 849 000,1 213 070 013
214,"Nov 13, 2018",16301,16442,15937,16117,155 883 000,1 360 714 704
215,"Nov 12, 2018",16024,16730,15989,16305,198 078 000,1 376 230 076
216,"Nov 11, 2018",16177,16224,15842,16011,317 344 000,1 350 880 369
217,"Nov 10, 2018",15996,16390,15869,16172,320 383 000,1 364 443 572
218,"Nov 09, 2018",16416,16521,15958,15999,210 843 000,1 349 561 475
219,"Nov 08, 2018",16625,17402,16429,16429,139 714 000,1 385 511 418
220,"Nov 07, 2018",17012,17132,16427,16645,190 695 000,1 403 421 907
221,"Nov 06, 2018",16486,17242,16399,17047,167 367 000,1 428 094 259
222,"Nov 05, 2018",16158,16822,15985,16423,153 372 000,1 384 092 326
223,"Nov 04, 2018",15487,16925,15272,16296,191 731 000,1 373 101 248
224,"Nov 03, 2018",15434,15502,15390,15470,122 982 000,1 303 245 341
225,"Nov 02, 2018",15363,15466,15312,15432,198 045 000,1 299 718 548
226,"Nov 01, 2018",15191,15597,15148,15352,179 048 000,1 292 740 465
227,"Oct 31, 2018",15336,15858,15127,15175,156 270 000,1 276 664 197
228,"Oct 30, 2018",15025,15343,14992,15312,154 155 000,1 287 889 585
229,"Oct 29, 2018",15607,15649,14916,15006,151 064 000,1 261 893 344
230,"Oct 28, 2018",15364,15660,15304,15644,99 202 700,1 315 197 669
231,"Oct 27, 2018",15538,15657,15304,15307,188 644 000,1 286 585 096
232,"Oct 26, 2018",15477,15588,15286,15520,174 752 000,1 304 271 869
233,"Oct 25, 2018",15599,15659,15483,15498,168 704 000,1 302 059 168
234,"Oct 24, 2018",15347,15921,15345,15624,163 230 000,1 312 359 963
235,"Oct 23, 2018",15169,15398,15141,15394,165 491 000,1 292 799 937
236,"Oct 22, 2018",15439,15515,15161,15172,104 357 000,1 273 911 881
237,"Oct 21, 2018",15476,15701,15377,15456,137 353 000,1 297 464 930
238,"Oct 20, 2018",15305,15642,15298,15477,152 333 000,1 298 944 514
239,"Oct 19, 2018",15440,15517,15238,15290,167 318 000,1 282 938 546
240,"Oct 18, 2018",15987,16018,15371,15482,171 415 000,1 298 773 603
241,"Oct 17, 2018",16321,16406,15902,15959,170 806 000,1 338 494 855
242,"Oct 16, 2018",16521,16642,16175,16310,195 519 000,1 367 650 991
243,"Oct 15, 2018",15717,17071,15592,16498,167 932 000,1 383 069 764
244,"Oct 14, 2018",16121,16217,15714,15742,147 540 000,1 319 412 536
245,"Oct 13, 2018",15780,16086,15748,16086,109 154 000,1 347 993 791
246,"Oct 12, 2018",15605,16205,15277,15782,191 719 000,1 322 221 583
247,"Oct 11, 2018",17818,17818,15701,15714,150 780 000,1 316 214 775
248,"Oct 10, 2018",18051,18070,17654,17852,252 133 000,1 494 940 468
249,"Oct 09, 2018",18260,18272,17928,18103,147 767 000,1 515 688 709
250,"Oct 08, 2018",18036,18383,17827,18215,150 222 000,1 524 731 889
