,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Jun 15, 2019",856,873,842,860,620 126 945,956 871 136
1,"Jun 14, 2019",852,858,818,854,670 586 440,949 862 552
2,"Jun 13, 2019",858,869,845,855,684 549 128,950 140 211
3,"Jun 12, 2019",826,878,814,856,705 350 374,951 069 096
4,"Jun 11, 2019",828,835,803,826,508 941 952,917 812 627
5,"Jun 10, 2019",814,839,793,830,675 313 606,921 736 480
6,"Jun 09, 2019",846,853,792,815,728 018 275,905 908 991
7,"Jun 08, 2019",822,873,807,846,830 432 073,939 842 267
8,"Jun 07, 2019",797,839,781,822,717 510 077,912 353 468
9,"Jun 06, 2019",817,821,738,798,762 379 591,885 842 756
10,"Jun 05, 2019",824,836,784,817,882 398 657,906 428 616
11,"Jun 04, 2019",940,940,771,821,1 156 648 679,911 314 722
12,"Jun 03, 2019",952,969,912,941,1 170 920 227,1 044 148 589
13,"Jun 02, 2019",858,955,858,952,992 624 941,1 055 459 474
14,"Jun 01, 2019",865,885,846,857,859 858 805,950 786 053
15,"May 31, 2019",814,870,795,866,839 281 824,960 025 129
16,"May 30, 2019",817,882,792,813,957 435 239,901 701 965
17,"May 29, 2019",822,842,771,818,688 912 471,906 137 980
18,"May 28, 2019",816,840,803,822,837 088 101,910 788 373
19,"May 27, 2019",766,826,759,819,769 918 617,907 772 061
20,"May 26, 2019",730,770,710,766,626 354 051,848 537 728
21,"May 25, 2019",728,737,718,730,465 778 838,808 511 605
22,"May 24, 2019",709,742,696,729,645 224 198,806 536 713
23,"May 23, 2019",695,712,672,707,498 397 530,782 145 658
24,"May 22, 2019",746,751,686,696,576 207 968,769 940 183
25,"May 21, 2019",741,763,724,746,584 199 673,825 046 643
26,"May 20, 2019",786,786,718,741,631 457 067,819 636 003
27,"May 19, 2019",717,795,714,784,690 201 760,867 391 840
28,"May 18, 2019",722,741,707,716,615 035 489,792 101 963
29,"May 17, 2019",765,778,684,722,988 083 259,798 057 809
30,"May 16, 2019",757,839,710,765,1 311 469 891,845 123 189
31,"May 15, 2019",657,760,652,758,877 976 799,837 992 582
32,"May 14, 2019",609,668,608,656,855 242 308,724 122 527
33,"May 13, 2019",583,624,578,609,718 560 259,672 428 230
34,"May 12, 2019",608,621,576,582,735 292 770,643 014 982
35,"May 11, 2019",564,637,562,608,776 014 181,670 874 331
36,"May 10, 2019",557,572,551,564,483 140 799,622 110 915
37,"May 09, 2019",573,581,550,557,392 012 219,614 363 021
38,"May 08, 2019",567,577,559,573,429 553 716,632 516 021
39,"May 07, 2019",569,589,565,567,476 896 645,624 786 648
40,"May 06, 2019",574,577,553,569,457 954 181,627 673 791
41,"May 05, 2019",583,586,566,574,424 731 401,632 528 285
42,"May 04, 2019",607,616,574,583,476 232 964,642 763 449
43,"May 03, 2019",579,616,577,607,523 886 695,669 228 348
44,"May 02, 2019",584,585,576,579,433 550 376,637 477 655
45,"May 01, 2019",590,597,577,584,437 370 461,643 088 779
46,"Apr 30, 2019",557,592,557,590,469 034 065,649 645 521
47,"Apr 29, 2019",559,570,550,557,451 768 362,613 044 566
48,"Apr 28, 2019",551,565,545,558,369 284 399,614 384 216
49,"Apr 27, 2019",544,556,543,550,381 560 781,605 453 053
50,"Apr 26, 2019",540,549,530,544,425 208 370,598 034 577
51,"Apr 25, 2019",560,572,530,540,401 668 998,593 589 266
52,"Apr 24, 2019",595,596,546,560,491 679 409,616 037 977
53,"Apr 23, 2019",594,613,588,596,392 368 632,654 859 775
54,"Apr 22, 2019",593,598,583,594,377 418 221,653 034 058
55,"Apr 21, 2019",624,625,576,593,425 303 026,651 376 689
56,"Apr 20, 2019",629,633,619,625,346 816 506,686 341 997
57,"Apr 19, 2019",634,636,622,629,370 875 841,690 896 481
58,"Apr 18, 2019",623,639,621,634,405 282 923,695 964 995
59,"Apr 17, 2019",631,634,616,623,359 614 141,683 683 454
60,"Apr 16, 2019",619,632,609,631,373 441 627,692 141 837
61,"Apr 15, 2019",644,653,608,619,438 340 736,679 618 503
62,"Apr 14, 2019",634,645,620,644,371 013 644,706 832 126
63,"Apr 13, 2019",637,643,620,634,371 860 556,695 599 768
64,"Apr 12, 2019",629,648,598,637,467 890 649,698 651 764
65,"Apr 11, 2019",704,705,607,629,596 379 347,690 077 233
66,"Apr 10, 2019",699,723,696,705,530 422 510,772 433 079
67,"Apr 09, 2019",720,740,678,699,605 526 747,765 814 899
68,"Apr 08, 2019",768,790,687,720,870 935 829,789 121 587
69,"Apr 07, 2019",600,792,600,767,1 367 951 558,840 251 877
70,"Apr 06, 2019",582,607,555,600,422 594 961,656 655 595
71,"Apr 05, 2019",536,593,536,582,434 760 409,637 554 810
72,"Apr 04, 2019",544,562,526,536,426 653 091,586 443 316
73,"Apr 03, 2019",546,612,523,546,607 791 272,597 534 080
74,"Apr 02, 2019",483,547,481,546,490 865 719,596 976 775
75,"Apr 01, 2019",482,485,480,482,203 584 706,527 699 755
76,"Mar 31, 2019",479,484,476,482,149 120 803,527 656 434
77,"Mar 30, 2019",486,508,476,479,153 581 340,523 410 189
78,"Mar 29, 2019",477,496,473,487,212 643 300,532 024 292
79,"Mar 28, 2019",486,486,473,477,162 636 599,521 066 408
80,"Mar 27, 2019",471,488,470,486,182 403 471,530 831 070
81,"Mar 26, 2019",473,474,463,471,189 888 273,514 296 279
82,"Mar 25, 2019",484,484,465,473,206 919 526,516 353 328
83,"Mar 24, 2019",489,490,478,484,183 730 901,528 049 572
84,"Mar 23, 2019",488,491,483,489,196 468 772,534 391 980
85,"Mar 22, 2019",480,500,479,489,262 391 505,533 911 569
86,"Mar 21, 2019",469,488,461,480,330 828 877,524 232 457
87,"Mar 20, 2019",466,476,454,468,243 257 735,511 125 503
88,"Mar 19, 2019",444,470,442,465,459 013 224,507 750 118
89,"Mar 18, 2019",447,453,439,444,394 491 335,484 192 520
90,"Mar 17, 2019",452,453,442,446,183 446 354,486 792 522
91,"Mar 16, 2019",443,463,443,452,203 176 719,493 176 746
