,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Jun 15, 2019",125262,127650,124618,126742,322 647 447,2 459 830 580
1,"Jun 14, 2019",124764,125421,121878,125320,352 099 385,2 432 244 275
2,"Jun 13, 2019",126373,127040,124560,124728,458 304 561,2 423 025 791
3,"Jun 12, 2019",122894,126918,121754,126446,438 940 968,2 452 982 683
4,"Jun 11, 2019",123984,124290,119732,122827,379 804 245,2 376 628 104
5,"Jun 10, 2019",119811,124650,118348,123940,351 384 678,2 395 972 239
6,"Jun 09, 2019",126158,126485,118324,119915,369 553 778,2 318 167 337
7,"Jun 08, 2019",127500,128237,124238,126277,395 580 903,2 441 149 319
8,"Jun 07, 2019",124347,129185,123776,127542,437 227 118,2 465 593 409
9,"Jun 06, 2019",121236,124536,119547,124382,426 080 833,2 404 523 467
10,"Jun 05, 2019",122101,125406,120484,121284,364 346 501,2 344 620 377
11,"Jun 04, 2019",130054,130054,118954,122077,472 906 605,2 359 889 711
12,"Jun 03, 2019",137524,139661,129652,129983,451 453 721,2 512 401 974
13,"Jun 02, 2019",133126,137869,133044,137623,428 728 158,2 659 873 179
14,"Jun 01, 2019",133645,134255,129943,133101,463 748 030,2 572 481 834
15,"May 31, 2019",130088,133889,126332,133664,429 586 829,2 583 358 571
16,"May 30, 2019",136525,143193,127751,130067,634 399 476,2 510 323 671
17,"May 29, 2019",139039,139065,132190,136491,495 108 156,2 634 314 984
18,"May 28, 2019",136841,139087,132234,138960,516 088 336,2 681 879 330
19,"May 27, 2019",133265,141597,132300,136869,508 588 037,2 641 423 667
20,"May 26, 2019",125796,134264,123934,133135,400 434 268,2 569 365 016
21,"May 25, 2019",126001,128315,125090,125821,344 507 034,2 428 219 461
22,"May 24, 2019",125190,129308,123378,125944,453 216 069,2 430 593 679
23,"May 23, 2019",124240,126375,120036,125167,440 656 426,2 411 608 484
24,"May 22, 2019",134267,135236,123011,124257,414 103 053,2 394 087 016
